GCXO-RC-01	28.4829775278	-16.3379337750	661.8570000017	20 2  2014	22 45 13.00     	
REFLECT000	28.4820947576	-16.3394313703	684.3778137583	20 2  2014	23 6  24.40     	
REFLECT001	28.4807317191	-16.3358119983	664.2537299008	20 2  2014	23 48 18.20     	
6150221_00	28.4812090304	-16.3365840184	663.5726284962	21 2  2014	 0 4  59.40     	
6150221_00	28.4812090331	-16.3365840322	663.5758728767	21 2  2014	 0 4  59.60     	
6150221_00	28.4812090379	-16.3365840414	663.5896622725	21 2  2014	 0 4  59.80     	
6150221_00	28.4812090375	-16.3365840384	663.5888509518	21 2  2014	 0 5  0.00      	
6150221_00	28.4812090320	-16.3365840361	663.5739318039	21 2  2014	 0 5  0.20      	
6150221_00	28.4812090378	-16.3365840434	663.5869147591	21 2  2014	 0 5  0.40      	
6150221_00	28.4812090265	-16.3365840096	663.5754217943	21 2  2014	 0 5  0.60      	
6150221_00	28.4812090251	-16.3365840295	663.5826231577	21 2  2014	 0 5  0.80      	
6150221_00	28.4812090205	-16.3365840237	663.5730401045	21 2  2014	 0 5  1.00      	
6150221_00	28.4812090353	-16.3365840280	663.5785776563	21 2  2014	 0 5  1.20      	
6150221_00	28.4812090463	-16.3365840343	663.5858499687	21 2  2014	 0 5  1.40      	
6150221_00	28.4812090300	-16.3365840229	663.5702434834	21 2  2014	 0 5  1.60      	
6150221_00	28.4812090323	-16.3365840232	663.5761645176	21 2  2014	 0 5  1.80      	
6150221_00	28.4812090223	-16.3365840230	663.5768912155	21 2  2014	 0 5  2.00      	
6150221_00	28.4812090297	-16.3365840289	663.5741781369	21 2  2014	 0 5  2.20      	
6150221_00	28.4812090222	-16.3365840487	663.5795295993	21 2  2014	 0 5  2.40      	
6150221_00	28.4812090363	-16.3365840382	663.5779947881	21 2  2014	 0 5  2.60      	
6150221_00	28.4812090390	-16.3365840316	663.5753197670	21 2  2014	 0 5  2.80      	
6150221_00	28.4812090290	-16.3365840491	663.5704705678	21 2  2014	 0 5  3.00      	
6150221_00	28.4812090452	-16.3365840368	663.5815928848	21 2  2014	 0 5  3.20      	
6150221_00	28.4812090399	-16.3365840273	663.5754531231	21 2  2014	 0 5  3.40      	
6150221_00	28.4812090412	-16.3365840341	663.5786878811	21 2  2014	 0 5  3.60      	
6150221_00	28.4812090271	-16.3365840181	663.5744722942	21 2  2014	 0 5  3.80      	
6150221_00	28.4812090360	-16.3365840321	663.5768835414	21 2  2014	 0 5  4.00      	
6150221_00	28.4812090343	-16.3365840345	663.5798282120	21 2  2014	 0 5  4.20      	
6150221_00	28.4812090519	-16.3365840221	663.5847219471	21 2  2014	 0 5  4.40      	
6150221_00	28.4812090358	-16.3365840361	663.5806276556	21 2  2014	 0 5  4.60      	
6150221_00	28.4812090402	-16.3365840262	663.5769313062	21 2  2014	 0 5  4.80      	
6150221_00	28.4812090285	-16.3365840163	663.5717285480	21 2  2014	 0 5  5.00      	
6150221_00	28.4812090393	-16.3365840209	663.5717830369	21 2  2014	 0 5  5.20      	
6150221_00	28.4812090304	-16.3365840423	663.5852969708	21 2  2014	 0 5  5.40      	
6150221_00	28.4812090352	-16.3365839950	663.5687983083	21 2  2014	 0 5  5.60      	
6150221_00	28.4812090376	-16.3365840219	663.5794381378	21 2  2014	 0 5  5.80      	
6150221_00	28.4812090337	-16.3365840027	663.5701011242	21 2  2014	 0 5  6.00      	
6150221_00	28.4812090340	-16.3365840252	663.5751937497	21 2  2014	 0 5  6.20      	
6150221_00	28.4812090365	-16.3365840217	663.5728841694	21 2  2014	 0 5  6.40      	
6150221_00	28.4812090348	-16.3365840128	663.5758559676	21 2  2014	 0 5  6.60      	
6150221_00	28.4812090469	-16.3365840011	663.5677452777	21 2  2014	 0 5  6.80      	
6150221_00	28.4812090483	-16.3365840316	663.5822411794	21 2  2014	 0 5  7.00      	
