Cat,Length,FSPEC,DI I010/010 SAC,DI I010/010 SIC,DI I010/000 Message Type,DI I010/020 TRD Type,DI I010/020 TRD DCR,DI I010/020 TRD CHN,DI I010/020 TRD GBS,DI I010/020 TRD CRT,DI I010/140 Time of Day,ADD ON time at recorder,ADD ON delta(t),DI I010/041 Lat,DI I010/041 Lon,DI I010/040 Rho,DI I010/040 Theta,DI I010/042 X,DI I010/042 Y,DI I010/200 V_rho,DI I010/200 V_theta,DI I010/202 V_x,DI I010/202 V_y,DI I010/161 Track No.,DI I010/170 Track Status,DI I010/060 ModeA,DI I010/220 Target Address,DI I010/245 Target ID,DI I010/250 Mode S MB Data,DI I010/300 Vehicle FID,DI I010/090 Fight Level,DI I010/091 Measured Height,DI I010/270 T. Size ,DI I010/270 T. Orientation,DI I010/270 T. Width,DI I010/550 System Status NOGO,DI I010/550 System Status OVL,DI I010/550 System Status TSV,DI I010/550 System Status DIV,DI I010/550 System Status TTF,DI I010/310 PreProgrammed Message,DI I010/550 Standard Deviation of Position sigmaX,DI I010/550 Standard Deviation of Position sigmaY,DI I010/550 Standard Deviation of Position covariXY,DI I010/280 Presence,DI I010/131 Amplitude of Primary Plot,DI I010/210 Calculated Acceleration,SP Special Purpose Field,RE Reserved Expansion Field
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28801.0,28801.0,0.0,,,4104.0,-68.4228515625,-3806,1533,642.0,-73.8116455078125,-278,83,2766,5,,,,,,,,31,-144,62,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28801.0,28801.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28802.0,28802.0,0.0,,,4175.0,-68.48876953125,-3874,1555,632.0,-72.4822998046875,-272,88,2766,5,,,,,,,,25,-144,76,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28802.0,28802.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28803.0,28803.0,0.0,,,4246.0,-68.565673828125,-3942,1576,629.0,-73.201904296875,-272,84,2766,5,,,,,,,,37,-144,78,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28803.0,28803.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28804.0,28804.0,0.0,,,4317.0,-68.5986328125,-4009,1601,629.0,-70.751953125,-268,95,2766,5,,,,,,,,37,-138,66,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28804.0,28804.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28804.0,28804.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28805.0,28805.0,0.0,,,4387.0,-68.7030029296875,-4077,1619,624.0,-74.608154296875,-272,77,2766,5,,,,,,,,43,-144,68,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28805.0,28805.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28806.0,28806.0,0.0,,,4461.0,-68.741455078125,-4147,1644,654.0,-71.334228515625,-279,96,2766,5,,,,,,,,31,-138,82,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28806.0,28806.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28807.0,28807.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28808.0,28808.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28809.0,28809.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28809.0,28809.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
