Date,PD,ReadedPlots,ExpectedPlots,MissedPlots,OuterAreasPlots,SUCmeanDelay,SUCmaxDelay,CHN,Notes
2015-03-29 20:00,99.17,5611,5658,47,0,100.28,140.625,1.83746212796293, 
2015-03-29 16:00,98.75,16242,16448,206,0,100.83,281.25,2.0, 
2015-03-29 12:00,99.1,19633,19812,179,0,97.53,257.8125,2.0, 
2015-03-29 08:00,98.65,16112,16332,220,0,96.99,203.125,1.4432720953326712, 
2015-03-29 04:00,98.8,11846,11990,144,0,97.19,218.75,1.0, 
2015-03-29 00:00,99.23,1025,1033,8,0,97.93,359.375,1.0, 
2015-03-28 20:00,98.57,10074,10220,146,0,98.88,375.0,1.0, 
2015-03-28 16:00,98.6,14386,14591,205,0,97.58,164.0625,1.0, 
2015-03-28 12:00,99.02,15404,15556,152,0,99.25,164.0625,1.0, 
2015-03-28 08:00,98.59,19213,19488,275,0,98.9,148.4375,1.0804663509082393, 
2015-03-28 04:00,98.24,9892,10069,177,0,97.3,187.5,2.0, 
2015-03-28 00:00,97.69,2068,2117,49,0,94.56,101.5625,2.0, 
2015-03-27 20:00,98.76,9328,9445,117,0,100.03,390.625,2.0, 
2015-03-27 16:00,98.95,18280,18474,194,0,99.89,390.625,2.0, 
2015-03-27 12:00,98.56,22172,22497,325,0,96.97,468.75,2.0, 
2015-03-27 08:00,98.37,23986,24383,397,0,96.26,304.6875,2.0, 
2015-03-27 04:00,98.24,14140,14394,254,0,96.07,195.3125,2.0, 
2015-03-27 00:00,97.38,2563,2632,69,0,98.64,375.0,2.0, 
2015-03-26 20:00,99.0,7939,8019,80,0,100.23,437.5,2.0, 
2015-03-26 16:00,99.0,18243,18427,184,0,97.7,734.375,2.0, 
2015-03-26 12:00,99.45,13129,13202,73,0,98.34,734.375,2.0, 
2015-03-26 08:00,98.88,17898,18101,203,0,98.18,179.6875,2.0, 
2015-03-26 04:00,98.11,11197,11413,216,0,96.01,132.8125,2.0, 
2015-03-26 00:00,95.45,1658,1737,79,0,95.34,101.5625,2.0, 
2015-03-25 20:00,99.05,12998,13123,125,0,99.88,328.125,2.0, 
2015-03-25 16:00,99.3,16889,17008,119,0,98.05,210.9375,2.0, 
2015-03-25 12:00,98.92,14441,14598,157,0,97.12,367.1875,2.0, 
